row_index,pl_name,n_clean,n_degenerate,n_failed,figure_path,npz_path,error
493,Kepler-1995 b,0,131,4,results/multi_system/_chunks/chunk_17/status_row0493_Kepler-1995_b.png,results/multi_system/_chunks/chunk_17/batch_row0493_Kepler-1995_b.npz,
494,Kepler-1052 c,0,129,6,results/multi_system/_chunks/chunk_17/status_row0494_Kepler-1052_c.png,results/multi_system/_chunks/chunk_17/batch_row0494_Kepler-1052_c.npz,
495,EPIC 212737443 b,0,134,1,results/multi_system/_chunks/chunk_17/status_row0495_EPIC_212737443_b.png,results/multi_system/_chunks/chunk_17/batch_row0495_EPIC_212737443_b.npz,
496,Kepler-1999 b,0,131,4,results/multi_system/_chunks/chunk_17/status_row0496_Kepler-1999_b.png,results/multi_system/_chunks/chunk_17/batch_row0496_Kepler-1999_b.npz,
497,Kepler-1996 b,0,131,4,results/multi_system/_chunks/chunk_17/status_row0497_Kepler-1996_b.png,results/multi_system/_chunks/chunk_17/batch_row0497_Kepler-1996_b.npz,
498,CoRoT-31 b,0,133,2,results/multi_system/_chunks/chunk_17/status_row0498_CoRoT-31_b.png,results/multi_system/_chunks/chunk_17/batch_row0498_CoRoT-31_b.npz,
499,Kepler-849 b,0,133,2,results/multi_system/_chunks/chunk_17/status_row0499_Kepler-849_b.png,results/multi_system/_chunks/chunk_17/batch_row0499_Kepler-849_b.npz,
500,HD 137496 b,0,133,2,results/multi_system/_chunks/chunk_17/status_row0500_HD_137496_b.png,results/multi_system/_chunks/chunk_17/batch_row0500_HD_137496_b.npz,
501,Kepler-1972 c,0,133,2,results/multi_system/_chunks/chunk_17/status_row0501_Kepler-1972_c.png,results/multi_system/_chunks/chunk_17/batch_row0501_Kepler-1972_c.npz,
502,Kepler-864 c,0,132,3,results/multi_system/_chunks/chunk_17/status_row0502_Kepler-864_c.png,results/multi_system/_chunks/chunk_17/batch_row0502_Kepler-864_c.npz,
503,K2-292 b,0,126,9,results/multi_system/_chunks/chunk_17/status_row0503_K2-292_b.png,results/multi_system/_chunks/chunk_17/batch_row0503_K2-292_b.npz,
504,Kepler-549 d,0,134,1,results/multi_system/_chunks/chunk_17/status_row0504_Kepler-549_d.png,results/multi_system/_chunks/chunk_17/batch_row0504_Kepler-549_d.npz,
505,Kepler-1869 c,0,104,31,results/multi_system/_chunks/chunk_17/status_row0505_Kepler-1869_c.png,results/multi_system/_chunks/chunk_17/batch_row0505_Kepler-1869_c.npz,
506,Kepler-290 d,0,132,3,results/multi_system/_chunks/chunk_17/status_row0506_Kepler-290_d.png,results/multi_system/_chunks/chunk_17/batch_row0506_Kepler-290_d.npz,
507,Kepler-2000 c,0,131,4,results/multi_system/_chunks/chunk_17/status_row0507_Kepler-2000_c.png,results/multi_system/_chunks/chunk_17/batch_row0507_Kepler-2000_c.npz,
508,K2-57 b,0,130,5,results/multi_system/_chunks/chunk_17/status_row0508_K2-57_b.png,results/multi_system/_chunks/chunk_17/batch_row0508_K2-57_b.npz,
509,Kepler-1976 b,44,89,2,results/multi_system/_chunks/chunk_17/status_row0509_Kepler-1976_b.png,results/multi_system/_chunks/chunk_17/batch_row0509_Kepler-1976_b.npz,
510,EPIC 212737443 c,0,132,3,results/multi_system/_chunks/chunk_17/status_row0510_EPIC_212737443_c.png,results/multi_system/_chunks/chunk_17/batch_row0510_EPIC_212737443_c.npz,
511,Kepler-1978 b,0,132,3,results/multi_system/_chunks/chunk_17/status_row0511_Kepler-1978_b.png,results/multi_system/_chunks/chunk_17/batch_row0511_Kepler-1978_b.npz,
512,Kepler-1162 c,0,133,2,results/multi_system/_chunks/chunk_17/status_row0512_Kepler-1162_c.png,results/multi_system/_chunks/chunk_17/batch_row0512_Kepler-1162_c.npz,
513,Kepler-1986 b,0,133,2,results/multi_system/_chunks/chunk_17/status_row0513_Kepler-1986_b.png,results/multi_system/_chunks/chunk_17/batch_row0513_Kepler-1986_b.npz,
514,NGTS-23 b,0,130,5,results/multi_system/_chunks/chunk_17/status_row0514_NGTS-23_b.png,results/multi_system/_chunks/chunk_17/batch_row0514_NGTS-23_b.npz,
515,TIC 279401253 b,0,133,2,results/multi_system/_chunks/chunk_17/status_row0515_TIC_279401253_b.png,results/multi_system/_chunks/chunk_17/batch_row0515_TIC_279401253_b.npz,
516,Kepler-896 c,0,131,4,results/multi_system/_chunks/chunk_17/status_row0516_Kepler-896_c.png,results/multi_system/_chunks/chunk_17/batch_row0516_Kepler-896_c.npz,
517,TIC 434398831 c,0,132,3,results/multi_system/_chunks/chunk_17/status_row0517_TIC_434398831_c.png,results/multi_system/_chunks/chunk_17/batch_row0517_TIC_434398831_c.npz,
518,TIC 88785435 b,0,128,7,results/multi_system/_chunks/chunk_17/status_row0518_TIC_88785435_b.png,results/multi_system/_chunks/chunk_17/batch_row0518_TIC_88785435_b.npz,
519,Kepler-413 b,0,132,3,results/multi_system/_chunks/chunk_17/status_row0519_Kepler-413_b.png,results/multi_system/_chunks/chunk_17/batch_row0519_Kepler-413_b.npz,
520,CoRoT-21 b,0,133,2,results/multi_system/_chunks/chunk_17/status_row0520_CoRoT-21_b.png,results/multi_system/_chunks/chunk_17/batch_row0520_CoRoT-21_b.npz,
521,Kepler-2001 b,0,132,3,results/multi_system/_chunks/chunk_17/status_row0521_Kepler-2001_b.png,results/multi_system/_chunks/chunk_17/batch_row0521_Kepler-2001_b.npz,
