row_index,pl_name,n_clean,n_degenerate,n_failed,figure_path,npz_path,error
0,TOI-2384 b,93,40,2,results/multi_system/_chunks/chunk_00/status_row0000_TOI-2384_b.png,results/multi_system/_chunks/chunk_00/batch_row0000_TOI-2384_b.npz,
1,HAT-P-28 b,46,86,3,results/multi_system/_chunks/chunk_00/status_row0001_HAT-P-28_b.png,results/multi_system/_chunks/chunk_00/batch_row0001_HAT-P-28_b.npz,
2,TOI-4773 b,30,103,2,results/multi_system/_chunks/chunk_00/status_row0002_TOI-4773_b.png,results/multi_system/_chunks/chunk_00/batch_row0002_TOI-4773_b.npz,
10,HAT-P-32 b,66,64,5,results/multi_system/_chunks/chunk_00/status_row0010_HAT-P-32_b.png,results/multi_system/_chunks/chunk_00/batch_row0010_HAT-P-32_b.npz,
12,TOI-6894 b,130,0,5,results/multi_system/_chunks/chunk_00/status_row0012_TOI-6894_b.png,results/multi_system/_chunks/chunk_00/batch_row0012_TOI-6894_b.npz,
14,TOI-5616 b,78,55,2,results/multi_system/_chunks/chunk_00/status_row0014_TOI-5616_b.png,results/multi_system/_chunks/chunk_00/batch_row0014_TOI-5616_b.npz,
21,HAT-P-18 b,78,54,3,results/multi_system/_chunks/chunk_00/status_row0021_HAT-P-18_b.png,results/multi_system/_chunks/chunk_00/batch_row0021_HAT-P-18_b.npz,
22,HAT-P-23 b,48,85,2,results/multi_system/_chunks/chunk_00/status_row0022_HAT-P-23_b.png,results/multi_system/_chunks/chunk_00/batch_row0022_HAT-P-23_b.npz,
23,KELT-16 b,28,105,2,results/multi_system/_chunks/chunk_00/status_row0023_KELT-16_b.png,results/multi_system/_chunks/chunk_00/batch_row0023_KELT-16_b.npz,
25,WASP-64 b,56,77,2,results/multi_system/_chunks/chunk_00/status_row0025_WASP-64_b.png,results/multi_system/_chunks/chunk_00/batch_row0025_WASP-64_b.npz,
26,Qatar-1 b,57,75,3,results/multi_system/_chunks/chunk_00/status_row0026_Qatar-1_b.png,results/multi_system/_chunks/chunk_00/batch_row0026_Qatar-1_b.npz,
34,HATS-6 b,104,29,2,results/multi_system/_chunks/chunk_01/status_row0034_HATS-6_b.png,results/multi_system/_chunks/chunk_01/batch_row0034_HATS-6_b.npz,
38,WASP-194 b,50,83,2,results/multi_system/_chunks/chunk_01/status_row0038_WASP-194_b.png,results/multi_system/_chunks/chunk_01/batch_row0038_WASP-194_b.npz,
40,TOI-2202 b,75,58,2,results/multi_system/_chunks/chunk_01/status_row0040_TOI-2202_b.png,results/multi_system/_chunks/chunk_01/batch_row0040_TOI-2202_b.npz,
42,Qatar-6 b,108,22,5,results/multi_system/_chunks/chunk_01/status_row0042_Qatar-6_b.png,results/multi_system/_chunks/chunk_01/batch_row0042_Qatar-6_b.npz,
43,K2-419 A b,113,17,5,results/multi_system/_chunks/chunk_01/status_row0043_K2-419_A_b.png,results/multi_system/_chunks/chunk_01/batch_row0043_K2-419_A_b.npz,
44,TOI-169 b,45,88,2,results/multi_system/_chunks/chunk_01/status_row0044_TOI-169_b.png,results/multi_system/_chunks/chunk_01/batch_row0044_TOI-169_b.npz,
53,HIP 65 A b,125,5,5,results/multi_system/_chunks/chunk_01/status_row0053_HIP_65_A_b.png,results/multi_system/_chunks/chunk_01/batch_row0053_HIP_65_A_b.npz,
55,HATS-1 b,29,103,3,results/multi_system/_chunks/chunk_01/status_row0055_HATS-1_b.png,results/multi_system/_chunks/chunk_01/batch_row0055_HATS-1_b.npz,
56,NGTS-21 b,86,46,3,results/multi_system/_chunks/chunk_01/status_row0056_NGTS-21_b.png,results/multi_system/_chunks/chunk_01/batch_row0056_NGTS-21_b.npz,
58,HAT-P-37 b,78,55,2,results/multi_system/_chunks/chunk_02/status_row0058_HAT-P-37_b.png,results/multi_system/_chunks/chunk_02/batch_row0058_HAT-P-37_b.npz,
63,WASP-19 b,55,77,3,results/multi_system/_chunks/chunk_02/status_row0063_WASP-19_b.png,results/multi_system/_chunks/chunk_02/batch_row0063_WASP-19_b.npz,
67,TrES-3 b,108,19,8,results/multi_system/_chunks/chunk_02/status_row0067_TrES-3_b.png,results/multi_system/_chunks/chunk_02/batch_row0067_TrES-3_b.npz,
82,TOI-1855 b,105,28,2,results/multi_system/_chunks/chunk_02/status_row0082_TOI-1855_b.png,results/multi_system/_chunks/chunk_02/batch_row0082_TOI-1855_b.npz,
